TIME,LATITUDE,LONGITUDE,MODALITY,SNR,CFO,BLER,INDEX,SEGMENTS,MISS
15:53:24,45.067354600,7.655367400,,0,,,,,
15:53:25,45.067356400,7.655361600,,10,119.2,,,,
15:53:26,45.067358200,7.655355800,,10,119.1,,,,
15:53:27,45.067360000,7.655350000,,10,119.4,,,,10
15:53:28,45.067361800,7.655344200,,10,118.5,,,,10
15:53:29,45.067363600,7.655338400,8,10,118.3,,1,173637.ts 173639.ts 173638.ts ,10
15:53:30,45.067365400,7.655332600,8,10,118.3,,1,,
15:53:31,45.067367200,7.655326800,8,10,118.1,,1,173638.ts 173639.ts 173640.ts ,10
15:53:32,45.067369000,7.655321000,8,10,117.3,,,,
15:53:33,45.067370800,7.655315200,8,10,117.3,,,,
15:53:34,45.067372600,7.655309400,8,10,116.2,,1,173641.ts ,
15:53:35,45.067374400,7.655303600,8,10,117.7,,,,
15:53:36,45.067376200,7.655297800,8,10,117.7,,,,
15:53:37,45.067378000,7.655292000,8,10,116.6,,1,173642.ts ,
15:53:38,45.067379800,7.655286200,8,10,115.4,,,,
15:53:39,45.067381600,7.655280400,8,10,117.2,,,,
15:53:40,45.067383400,7.655274600,8,10,115.3,,1,173643.ts ,
15:53:41,45.067385200,7.655268800,8,10,115.5,,,,
15:53:42,45.067387000,7.655263000,8,10,114.8,,,,
15:53:43,45.067388800,7.655257200,8,10,115.0,,1,173644.ts ,
15:53:44,45.067390600,7.655251400,8,10,112.3,,,,
15:53:45,45.067392400,7.655245600,8,10,107.3,,,,
15:53:47,45.067396,7.655234,8,10,105.7,,1,173645.ts ,
15:53:48,45.067388333,7.655184000,8,10,104.2,,,,
15:53:49,45.067380667,7.655134000,8,10,102.4,,1,173646.ts ,
15:53:50,45.067373,7.655084,8,10,101.3,,,,
15:53:51,45.067359500,7.655014000,8,10,99.44,,,,
15:53:52,45.067346,7.654944,8,10,98.30,,1,173647.ts ,
15:53:53,45.067303167,7.654871167,8,10,98.13,,,,
15:53:54,45.067306333,7.654794333,8,10,98.07,,,,
15:53:55,45.067307833,7.65473,8,10,98.46,,1,173648.ts ,
15:53:56,45.067297150,7.654724923,8,10,99.95,,,,
15:53:57,45.067286468,7.654719846,8,10,102.2,,,,
15:53:58,45.067275785,7.654714769,8,10,106.9,,1,173649.ts ,
15:53:59,45.067265103,7.654709692,8,10,110.7,,,,
15:54:00,45.067254420,7.654704615,8,10,111.1,,,,
15:54:01,45.06724373760625,7.654699537492917,8,10,109.1,,1,173650.ts ,
15:54:02,45.067179365,7.654713062,8,10,107.2,,,,
15:54:03,45.067114993,7.654726586,8,10,109.2,,,,
15:54:04,45.067050621,7.654740111,8,10,106.3,,1,173651.ts ,
15:54:05,45.066986249,7.654753635,8,10,103.7,,,,
15:54:06,45.066921877,7.654767159,8,10,25.49,,,,
15:54:07,45.066857505,7.654780684,8,10,-74.0,0.997,,,
15:54:08,45.066793133,7.654794208,8,10,-132.,0.997,1,,10
15:54:09,45.066728761,7.654807732,8,0,50.98,0.997,,,10
15:54:10,45.066664388,7.654821257,8,0,261.4,0.997,1,,10
15:54:11,45.066600016,7.654834781,8,0,238.2,0.997,1,,10
15:54:12,45.066535644,7.654848305,8,0,129.0,0.997,,,10
15:54:13,45.066471272,7.654861830,8,0,-197.,0,,,10
15:54:14,45.066406900,7.654875354,4,0,-748.,0.846,1,173654.ts ,10
15:54:15,45.066342528,7.654888878,4,0,-1456,0.961,,173653.ts ,10
15:54:16,45.066278156,7.654902403,4,0,-1501,0.949,,,
15:54:17,45.066213783,7.654915927,4,0,-1434,0.993,1,173655.ts ,10
15:54:18,45.066149411,7.654929451,4,0,-1580,0.996,,173656.ts ,
15:54:19,45.066085039,7.654942976,4,0,-2090,1,1,,
15:54:20,45.066020667,7.6549565,4,0,-2563,0.997,,,
15:54:21,45.065962833,7.654983833,4,0,-2829,0.997,,,
15:54:22,45.065914333,7.655008833,4,0,-2961,0.997,1,,10
15:54:23,45.065863833,7.655018667,4,0,-3073,1,,173657.ts ,
15:54:24,45.065821667,7.655031833,4,0,-3187,0.997,,,
15:54:25,45.065789,7.655044167,4,0,-3247,0.997,1,,
15:54:26,45.065763,7.655057167,4,0,-3185,0.997,,173658.ts ,
15:54:27,45.0657435,7.6550725,4,0,-3031,0.995,,,
15:54:28,45.065729833,7.655088833,4,0,-2728,0.995,1,,
15:54:29,45.0657175,7.655099333,4,0,-2210,0.995,,,
15:54:30,45.065707833,7.655107,4,0,-1897,0.992,1,173659.ts ,
15:54:31,45.065700167,7.655113167,4,0,-1685,0.996,,,
15:54:32,45.065698833,7.655119833,4,0,-1533,0.996,,173660.ts ,
15:54:33,45.065699,7.655123333,4,0,-1311,0.996,,,
15:54:34,45.065697833,7.655127167,4,0,-1497,0.993,1,173661.ts ,
15:54:35,45.065695333,7.655131,4,0,None,,,,
15:54:36,45.065692833,7.655134,4,0,None,,,,
15:54:37,45.065689833,7.655137333,4,0,None,,1,,
15:54:38,45.065689667,7.655139833,4,0,None,,,173662.ts ,
15:54:39,45.065687167,7.6551435,4,0,72.23,0.993,,,
15:54:40,45.065673167,7.655148333,4,10,102.1,0,1,,
15:54:41,45.065647833,7.6551555,4,10,104.0,0,,173663.ts ,
15:54:42,45.0656155,7.655165667,4,10,106.3,0,,,
15:54:43,45.065575167,7.655176333,4,10,106.2,0,1,,
15:54:44,45.065528667,7.655192833,4,10,103.6,,,173664.ts ,
15:54:45,45.065478833,7.655208333,4,10,105.8,,,,
15:54:46,45.065424667,7.655224667,4,10,103.7,,1,,
15:54:47,45.065362167,7.6552405,4,10,97.90,,,173665.ts ,
15:54:48,45.065294667,7.655259833,4,10,99.59,,,,
15:54:49,45.065227667,7.655283833,4,10,100.4,,,,
15:54:50,45.065155667,7.655307667,4,10,103.4,,1,,
15:54:51,45.06508,7.655326167,4,10,103.4,,,173666.ts ,
15:54:52,45.065017667,7.655366333,4,10,103.1,,,,
15:54:53,45.0649465,7.655396333,4,10,100.3,,,173667.ts ,
15:54:54,45.0648555,7.655415167,4,10,100.2,,1,,
15:54:55,45.064776833,7.655447833,4,10,102.8,,,173668.ts ,
15:54:56,45.064685667,7.655467833,4,10,92.44,,1,,
15:54:57,45.064607167,7.6555,4,10,100.7,,,,
15:54:58,45.064519333,7.655519833,4,10,105.9,,1,173669.ts ,
15:54:59,45.064421333,7.655542333,4,10,104.3,,,,
15:55:00,45.0643265,7.655558667,8,10,102.8,,1,173670.ts ,
15:55:01,45.064234167,7.655583667,8,10,96.42,,,,
15:55:02,45.0641325,7.655601833,8,10,98.13,,,,
15:55:03,45.064030333,7.655618667,8,10,93.54,,,173671.ts ,
15:55:04,45.063933167,7.655637,8,10,102.6,,,,
15:55:05,45.063837833,7.655664833,8,10,99.25,,,,
15:55:06,45.063745167,7.655689667,8,10,100.7,,1,173672.ts ,
15:55:08,45.0635475,7.655737333,8,10,94.30,,,,
15:55:09,45.0634505,7.655760167,8,10,95.99,,1,173673.ts ,
15:55:10,45.063351167,7.655780167,8,10,97.65,,,,
15:55:11,45.063254667,7.655801667,8,10,95.50,,,,
15:55:12,45.063154667,7.655827667,8,10,96.41,,1,173674.ts ,
15:55:13,45.0630555,7.65585,8,10,89.89,,,,
15:55:14,45.062946333,7.655879167,8,10,93.44,,,,
15:55:15,45.062837,7.655909667,8,10,93.96,,1,173675.ts ,
15:55:16,45.062731,7.655941667,8,10,93.17,,,,
15:55:17,45.062629,7.655977,8,10,95.39,,,,
15:55:18,45.062530833,7.656018667,8,10,92.56,,,173676.ts ,
15:55:19,45.062434667,7.656038,8,10,94.61,,,,
15:55:20,45.062336833,7.656056833,8,10,93.12,,,,
15:55:21,45.062240833,7.656077667,8,10,93.99,,1,173677.ts ,
15:55:22,45.062147333,7.656102167,8,10,91.71,,,,
15:55:23,45.062053333,7.656125333,8,10,86.76,,,,
15:55:24,45.061958167,7.6561445,8,10,90.14,,1,173678.ts ,
15:55:25,45.061865333,7.656167,8,10,88.48,,,,
15:55:26,45.061768833,7.656187,8,10,86.29,,,,
15:55:27,45.06167,7.6562065,8,10,88.40,,,173679.ts ,
15:55:28,45.0615715,7.656229833,8,10,90.17,,,,
15:55:29,45.0614735,7.656252833,8,10,94.69,,,,
15:55:30,45.0613785,7.6562815,8,10,96.37,,1,173680.ts ,
15:55:31,45.061293167,7.6563165,8,10,97.69,,,,
15:55:32,45.061201667,7.656346333,8,10,89.28,,,,
15:55:33,45.061103,7.656364167,8,10,82.74,,1,173681.ts ,
15:55:34,45.061002167,7.656374833,8,10,87.84,,,,
15:55:35,45.060909333,7.65639,8,10,84.51,,,,
15:55:36,45.060821,7.6564055,8,10,83.30,,1,173682.ts ,
15:55:37,45.060735333,7.656417833,8,10,82.63,,,,
15:55:38,45.060653,7.656429833,8,10,82.58,,,,
15:55:39,45.060573,7.656443833,8,10,85.40,,,173683.ts ,
15:55:40,45.0604975,7.656457,8,10,83.68,,,,
15:55:41,45.060430167,7.656468667,8,10,83.84,,,,
15:55:42,45.060375667,7.656479167,8,10,84.89,,1,173684.ts ,
15:55:43,45.060332667,7.656485333,8,10,88.12,,,,
15:55:44,45.060299667,7.656490167,8,10,87.63,,,,
15:55:45,45.060278667,7.656492667,8,10,88.44,,1,173685.ts ,
15:55:46,45.060269333,7.6564935,8,10,89.83,,,,
15:55:47,45.060265667,7.656491833,8,10,90.68,,,,
15:55:48,45.060264833,7.656490333,8,10,91.69,,1,173686.ts ,
15:55:49,45.060265,7.65649,8,10,92.61,,,,
15:55:50,45.060264667,7.656489167,8,10,92.05,,,,
15:55:51,45.060264167,7.6564885,8,10,91.72,,1,173687.ts ,
15:55:52,45.060262667,7.656487,8,10,91.66,,,,
15:55:53,45.060262,7.656486,8,10,91.55,,,,
15:55:54,45.060261333,7.656485,8,10,90.72,,1,173688.ts ,
15:55:55,45.060260333,7.656484167,8,10,91.24,,,,
15:55:56,45.060259667,7.656483833,8,10,91.19,,,,
15:55:57,45.060259167,7.656483667,8,10,90.84,,1,173689.ts ,
15:55:58,45.060258167,7.656483167,8,10,91.00,,,,
15:55:59,45.060257333,7.6564825,8,10,91.06,,,,
15:56:00,45.060256333,7.656482,8,10,90.23,,1,173690.ts ,
15:56:01,45.060255333,7.656481833,8,10,90.40,,,,
15:56:02,45.060254167,7.6564815,8,10,90.39,,,,
15:56:03,45.0602535,7.656481167,8,10,90.93,,1,173691.ts ,
15:56:04,45.060253333,7.656481333,8,10,90.23,,,,
15:56:05,45.060253333,7.656480833,8,10,90.36,,,,
15:56:06,45.060253167,7.656480833,8,10,90.58,,1,173692.ts ,
15:56:07,45.060252167,7.656480333,8,10,90.30,,,,
15:56:08,45.060250667,7.656479333,8,10,90.17,,,,
15:56:09,45.060249833,7.656478833,8,10,89.74,,1,173693.ts ,
15:56:10,45.060251,7.656479667,8,10,89.93,,,,
15:56:11,45.060251333,7.656480167,8,10,89.87,,,,
15:56:12,45.060251667,7.656480667,8,10,88.56,,1,173694.ts ,
15:56:13,45.060250833,7.656480333,8,10,89.35,,,,
15:56:14,45.060251,7.656480667,8,10,89.67,,,,
15:56:15,45.0602505,7.656480833,8,10,89.48,,,173695.ts ,
15:56:16,45.060250833,7.656481667,8,10,88.84,,,,
15:56:17,45.0602505,7.656481833,8,10,88.92,,,,
15:56:18,45.0602505,7.656482167,8,10,89.12,,1,173696.ts ,
15:56:19,45.0602505,7.6564825,8,10,88.84,,,,
15:56:20,45.060251167,7.6564835,8,10,88.78,,,,
15:56:21,45.060250667,7.656484833,8,10,88.34,,1,173697.ts ,
15:56:22,45.060244,7.656486667,8,10,88.54,,,,
15:56:23,45.060227,7.65649,8,10,88.29,,,,
15:56:24,45.060202333,7.656496,8,10,83.93,,1,173698.ts ,
15:56:25,45.0601695,7.656504,8,10,83.86,,,,
15:56:26,45.0601325,7.656511667,8,10,84.07,,,,
15:56:27,45.060092,7.656520167,8,10,84.70,,1,173699.ts ,
15:56:28,45.060047,7.656530167,8,10,85.32,,,,
15:56:29,45.059998833,7.656541,8,10,84.78,,,,
15:56:30,45.0599455,7.656553667,8,10,87.45,,1,173700.ts ,
15:56:31,45.059887,7.656569,8,10,87.78,,,,
15:56:32,45.059827667,7.6565845,8,10,86.67,,,,
15:56:33,45.059767333,7.656597333,8,10,84.35,,1,173701.ts ,
15:56:34,45.059707333,7.656594667,8,10,83.24,,,,
15:56:35,45.059651833,7.656572,8,10,83.51,,,,
15:56:36,45.059596833,7.656534,8,10,82.48,,1,173702.ts ,
15:56:37,45.059539167,7.656490167,8,10,89.12,,,,
15:56:38,45.059476667,7.656443667,8,10,88.57,,,,
15:56:39,45.05941,7.6563945,8,10,89.25,,,173703.ts ,
15:56:41,45.059262167,7.656293,8,10,87.50,,,,
15:56:42,45.059188,7.656238667,8,10,85.34,,1,173704.ts ,
15:56:43,45.059115,7.656185,8,10,85.01,,,,
15:56:44,45.059041833,7.656131167,8,10,85.46,,,,
15:56:45,45.0589685,7.656076,8,10,84.53,,1,173705.ts ,
15:56:46,45.058895833,7.6560205,8,10,82.05,,,,
15:56:47,45.058818833,7.655965167,8,10,79.58,,,,
15:56:48,45.0587455,7.655912,8,10,77.54,,1,173706.ts ,
15:56:49,45.058673333,7.655859,8,10,84.83,,,,
15:56:50,45.058601833,7.655806,8,10,83.64,,,,
15:56:51,45.058528,7.655756333,8,10,83.13,,1,173707.ts ,
15:56:52,45.058455333,7.655704333,8,10,81.47,,,,
15:56:53,45.058385667,7.655653333,8,10,85.88,,,,
15:56:54,45.058316667,7.6556035,8,10,82.51,,1,173708.ts ,
15:56:55,45.058256167,7.655558833,8,10,84.63,,,,
15:56:56,45.058206,7.655521333,8,10,85.89,,,,
15:56:57,45.058166833,7.655493667,8,10,85.40,,,173709.ts ,
15:56:58,45.0581375,7.655471833,8,10,83.10,,,,
15:56:59,45.058121167,7.6554595,8,10,84.68,,,,
15:57:00,45.058113833,7.655452667,8,10,83.86,,1,173710.ts ,
15:57:01,45.0581085,7.655449333,8,10,85.15,,,,
15:57:02,45.0581055,7.655447333,8,10,84.96,,,,
15:57:03,45.058104667,7.655446667,8,10,84.03,,,173711.ts ,
15:57:04,45.058103167,7.655446167,8,10,83.60,,,,
15:57:05,45.058103,7.655446,8,10,83.13,,,,
15:57:06,45.058101833,7.655444667,8,10,82.75,,1,173712.ts ,
15:57:07,45.058101,7.655443667,8,10,82.83,,,,
15:57:08,45.0581,7.655442833,8,10,83.14,,,,
15:57:09,45.0580985,7.6554425,8,10,82.79,,1,173713.ts ,
15:57:10,45.058096833,7.655441667,8,10,82.32,,,,
15:57:11,45.058094667,7.655441,8,10,82.30,,,,
15:57:12,45.058093833,7.655440167,8,10,81.98,,1,173714.ts ,
15:57:13,45.058092167,7.655438667,8,10,81.95,,,,
15:57:14,45.0580895,7.6554365,8,10,82.62,,,,
15:57:15,45.058087333,7.655435333,8,10,82.56,,1,173715.ts ,
15:57:16,45.0580855,7.655434,8,10,81.95,,,,
15:57:17,45.058084167,7.655433667,8,10,81.25,,,,
15:57:18,45.058082667,7.655433167,8,10,81.32,,1,173716.ts ,
15:57:19,45.058080667,7.655432167,8,10,81.66,,,,
15:57:20,45.058073833,7.6554285,8,10,81.79,,,,
15:57:21,45.058060333,7.655419,8,10,83.69,,1,173717.ts ,
15:57:22,45.058039,7.6554035,8,10,83.46,,,,
15:57:23,45.058011333,7.655384667,8,10,84.05,,,,
15:57:24,45.057980167,7.6553635,8,10,81.65,,1,173718.ts ,
15:57:25,45.057946167,7.655338833,8,10,81.36,,,,
15:57:26,45.0579115,7.655313167,8,10,81.34,,,,
15:57:27,45.0578715,7.65528,8,10,81.00,,1,173719.ts ,
15:57:28,45.057828167,7.6552335,8,10,80.17,,,,
15:57:29,45.057782667,7.655173333,8,10,81.69,,,,
15:57:30,45.057729,7.655110167,8,10,79.95,,1,173720.ts ,
15:57:31,45.057664667,7.65505,8,10,79.64,,,,
15:57:32,45.0575955,7.654991833,8,10,84.72,,,,
15:57:33,45.057521167,7.654937167,8,10,83.44,,1,173721.ts ,
15:57:34,45.0574435,7.654882833,8,10,82.08,,,,
15:57:35,45.057364,7.6548285,8,10,83.73,,,,
15:57:36,45.057280333,7.654770667,8,10,82.17,,1,173722.ts ,
15:57:37,45.0571985,7.654710833,8,10,83.98,,,,
15:57:38,45.0571155,7.654651833,8,10,75.75,,,,
15:57:39,45.057034167,7.6545975,8,10,76.63,,,173723.ts ,
15:57:40,45.056952,7.654553167,8,10,72.65,,,,
15:57:41,45.056873167,7.654542333,8,10,77.54,,,,
15:57:42,45.056801667,7.654570833,8,10,69.59,,1,173724.ts ,
15:57:43,45.0567375,7.654627,8,10,71.88,,,,
15:57:44,45.0566725,7.654686333,8,10,65.37,,,,
15:57:45,45.056604833,7.654734167,8,10,81.01,,1,173725.ts ,
15:57:46,45.056531167,7.654761833,8,10,83.43,,,,
15:57:47,45.056453333,7.654767833,8,10,80.62,,,,
15:57:48,45.056371333,7.654759,8,10,76.26,,1,173726.ts ,
15:57:49,45.056282667,7.654744167,8,10,86.86,,,,
15:57:50,45.056189833,7.654725167,8,10,77.38,,,,
15:57:51,45.056094167,7.654705333,8,10,76.39,,1,173727.ts ,
15:57:52,45.055994667,7.654682,8,10,78.50,,,,
15:57:53,45.055893,7.6546565,8,10,80.68,,,,
15:57:54,45.0557885,7.654633167,8,10,82.82,,1,173728.ts ,
15:57:55,45.055682167,7.654611,8,10,87.23,,,,
15:57:56,45.055576,7.654588667,8,10,85.20,,,,
15:57:57,45.055469333,7.654566667,8,10,74.23,,1,173729.ts ,
15:57:58,45.055363167,7.654548833,8,10,87.46,,,,
15:57:59,45.055257,7.654538167,8,10,100.4,,,,
15:58:00,45.055150333,7.654533667,8,10,99.13,,1,173730.ts ,
15:58:01,45.055042167,7.654533333,8,10,87.32,,,,
15:58:02,45.0549345,7.6545425,8,10,91.00,,,,
15:58:03,45.054826167,7.6545575,8,10,91.60,,1,173731.ts ,
15:58:04,45.054721167,7.654552333,8,10,75.98,,,,
15:58:05,45.05462,7.654561833,8,10,77.72,,,,
15:58:06,45.054516333,7.654574833,8,10,85.70,,1,173732.ts ,
15:58:07,45.054417667,7.654585,8,10,81.06,,,,
15:58:08,45.054319667,7.654592667,8,10,80.86,,,,
15:58:09,45.0542255,7.6546075,8,10,82.50,,,173733.ts ,
15:58:10,45.054142833,7.654627667,8,10,79.08,,,,
15:58:11,45.054066667,7.654646333,8,10,77.69,,,,
15:58:12,45.054001833,7.654664167,8,10,78.20,,1,173734.ts ,
15:58:13,45.05396,7.654674167,8,10,81.16,,,,
15:58:14,45.053930667,7.654681667,8,10,81.40,,,,
15:58:16,45.0539035,7.654687,8,10,82.71,,1,173735.ts ,
15:58:17,45.053899333,7.6546945,8,10,79.31,,,,
15:58:18,45.0538945,7.654693833,8,10,79.90,,1,173736.ts ,
15:58:19,45.053896667,7.6546905,8,10,80.53,,,,
15:58:20,45.053901333,7.654688333,8,10,80.52,,,,
15:58:21,45.053905167,7.654687333,8,10,79.85,,1,173737.ts ,
15:58:22,45.053912,7.654684667,8,10,79.30,,,,
15:58:23,45.053918167,7.6546835,8,10,79.06,,,,
15:58:24,45.0539265,7.654681,8,10,78.32,0,1,173738.ts ,
15:58:25,45.0539335,7.65468,8,10,78.16,0,,,
15:58:26,45.053945667,7.654677,8,10,78.32,0,,,
15:58:27,45.053956667,7.654673833,8,10,78.47,0,1,173739.ts ,
15:58:28,45.053957667,7.654669,8,10,77.44,0,,,
15:58:29,45.053951167,7.654666167,8,10,78.66,0,,,
15:58:30,45.053947333,7.6546635,8,10,78.30,0,,,
15:58:31,45.053958167,7.654656833,8,10,78.53,0,1,,10
15:58:32,45.053957833,7.654654667,8,10,79.09,0,,,10
15:58:33,45.0539545,7.654653667,4,10,77.89,0,,173740.ts ,
15:58:34,45.0539505,7.654653167,4,10,78.66,0,1,,
15:58:35,45.0539355,7.654655167,4,10,78.22,0,,173741.ts ,
15:58:36,45.053931,7.654653167,4,10,79.49,0,,,
15:58:37,45.0539225,7.654653333,4,10,77.38,0,,,
15:58:38,45.053916833,7.654653167,4,10,77.64,0,,,
15:58:39,45.0539135,7.654651667,4,10,78.39,0,,173742.ts ,
15:58:40,45.053905833,7.654653,4,10,77.77,0,1,,
15:58:41,45.053892667,7.654655833,4,10,77.38,0,,173743.ts ,
15:58:42,45.0538845,7.654661167,4,10,78.06,0,,,
15:58:43,45.053872167,7.6546655,4,10,76.77,0,,,
15:58:44,45.053864,7.6546675,4,10,77.11,0,1,,
15:58:45,45.053855333,7.6546685,4,10,75.18,0,,,10
15:58:46,45.053849833,7.6546695,4,10,77.45,0,1,173744.ts ,
15:58:47,45.053842167,7.6546715,4,10,76.60,0,,,
15:58:48,45.053836333,7.654673333,4,10,77.30,0,,173745.ts ,
15:58:49,45.053835,7.654673833,4,10,75.65,0,,,
15:58:50,45.053830833,7.654673,4,10,76.82,0,1,,
15:58:51,45.053827,7.6546725,4,10,76.19,0,,,
15:58:52,45.053822167,7.654672333,4,10,77.03,0,,,10
15:58:53,45.0538045,7.654677833,4,10,77.44,0,,173746.ts ,
15:58:54,45.053797,7.654679667,4,10,76.18,0,1,,
15:58:55,45.053790833,7.654678833,4,10,76.84,0,,,
15:58:56,45.053782667,7.654679167,4,10,77.27,0,,,
15:58:57,45.053782333,7.654678667,4,10,76.18,0,,173747.ts ,
15:58:58,45.053770833,7.654682667,4,10,76.83,0,,,
15:58:59,45.053765167,7.6546835,4,10,76.44,0,,,
15:59:00,45.053761333,7.654684167,4,10,75.85,0,,,
15:59:01,45.0537575,7.654681833,4,10,76.85,0,,173748.ts ,
15:59:02,45.053759,7.654679833,4,10,76.90,0,1,,
15:59:03,45.053761333,7.654679,4,10,76.53,0,,,
15:59:04,45.053761333,7.654675,4,10,75.60,0,,,
15:59:05,45.053761333,7.654671333,4,10,76.63,0,,173749.ts ,
15:59:06,45.053763833,7.654667667,4,10,75.00,0,1,,
15:59:07,45.053761167,7.6546665,4,10,75.57,0,,,
15:59:08,45.053754333,7.654668333,4,10,76.66,0,,,
15:59:09,45.053759,7.654663333,4,10,75.94,0,,173750.ts ,
15:59:10,45.0537605,7.6546605,4,10,74.60,0,1,,
15:59:11,45.0537615,7.654658333,4,10,76.18,0,,,
15:59:12,45.053761333,7.654657333,4,10,75.59,0,,173751.ts ,
15:59:13,45.053763667,7.654655667,4,10,76.11,0,,,
15:59:14,45.053766667,7.6546525,4,10,74.73,0,,,
15:59:15,45.053769167,7.654648667,4,10,74.67,0,,,
15:59:16,45.0537695,7.654647167,4,10,76.69,0,,,10
15:59:17,45.053775167,7.654646,4,10,76.44,0,,,10
15:59:18,45.0537735,7.654646167,4,10,76.51,0,,,10
15:59:19,45.053771167,7.654646833,4,10,75.22,0,,,10
15:59:20,45.053754167,7.654657,4,10,74.79,0,1,,10
15:59:21,45.053750167,7.654660167,4,10,75.81,0,,,10
15:59:22,45.0537545,7.6546585,4,10,74.36,0,1,,10
15:59:23,45.0537415,7.6546655,4,10,75.43,0,,,10
15:59:25,45.053718333,7.654676167,4,10,74.30,0,1,,10
15:59:26,45.05371,7.654681,4,10,75.54,0,,173756.ts ,10
15:59:27,45.0537,7.6546855,4,10,74.58,0,,,
15:59:28,45.053696167,7.654686833,4,10,75.26,0,,,
15:59:29,45.05369,7.654687167,4,10,74.73,0,,173757.ts ,
15:59:30,45.053678333,7.654692333,4,10,74.99,0,1,,
15:59:31,45.053669,7.654695667,4,10,74.18,0,,173758.ts ,
15:59:32,45.0536535,7.654698333,4,10,75.57,0,1,,
15:59:33,45.053615667,7.6547155,4,10,74.41,0,,,
15:59:34,45.053581667,7.654731667,4,10,74.98,,,173759.ts ,
15:59:35,45.053544667,7.654751,4,10,80.77,,,,
15:59:36,45.053505,7.6547695,4,10,76.80,,1,,
15:59:37,45.0534585,7.654788833,4,10,80.08,,,,
15:59:38,45.0534135,7.65481,4,10,75.90,,,173760.ts ,
15:59:39,45.053359,7.654849167,4,10,75.86,,1,,
15:59:40,45.0533005,7.654885,4,10,71.98,,,,
15:59:41,45.053245667,7.654918833,4,10,72.26,,,173761.ts ,
15:59:42,45.053197167,7.654957167,4,10,69.13,,,,
15:59:43,45.0531695,7.6549885,4,10,70.42,,1,,
15:59:44,45.0531585,7.655011833,4,10,74.73,,,,
15:59:45,45.0531525,7.655028833,4,10,75.06,,,173762.ts ,
15:59:46,45.053150333,7.655041333,4,10,75.48,,1,,
15:59:47,45.053146167,7.655050667,4,10,75.42,,,,
15:59:48,45.053133333,7.655066833,4,10,74.96,,,,
15:59:49,45.05312130006854,7.655087874484906,8,10,75.11,,1,173763.ts 173764.ts 173765.ts 173766.ts ,10
15:59:50,45.05311225698887,7.6551689457037355,8,10,72.71,,,,
15:59:51,45.05306603677684,7.655228682387616,8,10,72.44,,1,173767.ts ,
15:59:52,45.053038096,7.655254065,8,10,72.84,,,,
15:59:53,45.053010154790684,7.655279447984469,8,10,74.15,,,,
15:59:54,45.052967451,7.655323539,8,10,72.10,,,173768.ts ,
15:59:55,45.05292474770232,7.655367630713528,8,10,71.89,,,,
15:59:56,45.052873540,7.655402399,8,10,70.26,,,,
15:59:57,45.052822333,7.655437167,8,10,70.65,,1,173769.ts ,
15:59:58,45.0527865,7.655471333,8,10,69.00,,,,
15:59:59,45.052745,7.655504,8,10,68.75,,,,
16:00:00,45.0526975,7.655535,8,10,68.58,,1,173770.ts ,
16:00:01,45.052641,7.6555625,8,10,66.85,,,,
16:00:02,45.052576,7.655584167,8,10,64.26,,,,
16:00:03,45.052501,7.655598,8,10,64.87,,1,173771.ts ,
16:00:04,45.052420833,7.655592333,8,10,65.18,,,,
16:00:05,45.052343667,7.655580833,8,10,70.18,,,,
16:00:06,45.052270333,7.655554833,8,10,72.03,,1,173772.ts ,
16:00:07,45.0521995,7.655518667,8,10,72.95,,,,
16:00:08,45.052132,7.655477167,8,10,73.99,,,,
16:00:09,45.052073333,7.655439333,8,10,77.07,,1,173773.ts ,
16:00:10,45.052030833,7.655415,8,10,74.93,,,,
16:00:11,45.051997833,7.655395667,8,10,74.68,,,,
16:00:12,45.0519795,7.655380667,8,10,75.48,,1,173774.ts ,
16:00:13,45.051965667,7.655369,8,10,77.83,,,,
16:00:14,45.0519535,7.655363333,8,10,77.38,,,,
16:00:15,45.051950667,7.655363167,8,10,77.23,,1,173775.ts ,
16:00:16,45.0519495,7.655362333,8,10,74.67,,,,
16:00:17,45.051949667,7.655363333,8,10,75.13,,,,
16:00:18,45.051950833,7.655363333,8,10,74.22,,1,173776.ts ,
16:00:19,45.051952167,7.655362667,8,10,73.56,,,,
16:00:20,45.051953333,7.655362,8,10,73.43,,,,
16:00:21,45.051954167,7.655362333,8,10,72.98,,1,173777.ts ,
16:00:22,45.051954333,7.655362,8,10,74.51,,,,
16:00:23,45.0519545,7.655361667,8,10,73.92,,,,
16:00:24,45.051955667,7.655361833,8,10,73.66,,1,173778.ts ,
16:00:25,45.0519565,7.655362333,8,10,73.75,,,,
16:00:26,45.051956667,7.655361833,8,10,73.86,,,,
16:00:27,45.0519575,7.6553625,8,10,73.27,,1,173779.ts ,
16:00:28,45.0519585,7.655363167,8,10,73.07,,,,
